time_s,object_resistance_R
1527.564,15197.05
1528.644,15197.05
1529.724,15197.05
1530.804,15197.05
1531.884,15197.05
1532.964,15197.05
1534.044,15259.26
1535.124,15135.14
1536.204,15321.78
1537.284,15259.26
1538.364,15259.26
1539.444,15259.26
1540.524,15321.78
1541.604,15259.26
1542.684,15197.05
1543.764,15321.78
1544.844,15321.78
1545.924,15384.62
1547.019,15384.62
1548.1,15447.76
1549.18,15384.62
1550.26,15447.76
1551.34,15447.76
1552.42,15447.76
1553.5,15511.22
1554.58,15511.22
1555.66,15384.62
1556.74,15511.22
1557.82,15447.76
1558.9,15447.76
1559.98,15447.76
1561.061,15447.76
1562.141,15447.76
1563.221,15511.22
1564.301,15511.22
1565.381,15511.22
1566.461,15447.76
1567.541,15447.76
1568.621,15447.76
1569.701,15384.62
1570.781,15384.62
1571.861,15447.76
1572.941,15447.76
1574.021,15447.76
1575.101,15447.76
1576.197,15384.62
1577.277,15511.22
1578.357,15447.76
1579.437,15447.76
1580.517,15447.76
1581.598,15511.22
1582.678,15511.22
1583.759,15511.22
1584.839,15511.22
1585.919,15447.76
1586.999,15511.22
1588.079,15511.22
1589.159,15511.22
1590.239,15511.22
1591.319,15575.0
1592.399,15511.22
1593.479,15575.0
1594.56,15575.0
1595.64,15703.52
1596.72,15639.1
1597.8,15639.1
1598.88,15703.52
1599.96,15575.0
1601.04,15703.52
1602.12,15639.1
1603.2,15703.52
1604.28,15639.1
1605.376,15703.52
1606.457,15639.1
1607.539,15768.26
1608.621,15703.52
1609.703,15768.26
1610.785,15768.26
1611.867,15639.1
1612.949,15703.52
1614.031,15639.1
1615.113,15703.52
1616.195,15639.1
1617.277,15575.0
1618.359,15639.1
1619.441,15575.0
1620.523,15639.1
1621.605,15639.1
1622.687,15639.1
1623.769,15703.52
1624.852,15575.0
1625.936,15575.0
1627.025,15511.22
1628.108,15511.22
1629.191,15575.0
1630.274,15511.22
1631.357,15511.22
1632.44,15575.0
1633.523,15511.22
1634.622,15447.76
1635.705,15575.0
1636.788,15447.76
1637.871,15447.76
1638.954,15447.76
1640.037,15511.22
1641.12,15447.76
1642.203,15447.76
1643.286,15384.62
1644.369,15384.62
1645.452,15384.62
1646.535,15384.62
1647.618,15259.26
1648.701,15197.05
1649.784,15259.26
1650.867,15384.62
1651.95,15384.62
1653.035,15321.78
1654.118,15259.26
1655.201,15259.26
1656.285,15321.78
1657.368,15321.78
1658.451,15259.26
1659.534,15259.26
1660.617,15321.78
1661.7,15197.05
1662.783,15321.78
1663.88,15259.26
1664.963,15259.26
1666.046,15321.78
1667.129,15197.05
1668.212,15321.78
1669.295,15259.26
1670.378,15321.78
1671.461,15384.62
1672.544,15259.26
1673.627,15447.76
1674.71,15384.62
1675.793,15384.62
1676.876,15384.62
1677.959,15259.26
1679.042,15384.62
1680.125,15384.62
1681.208,15447.76
1682.291,15384.62
1683.374,15447.76
1684.458,15447.76
1685.541,15384.62
1686.624,15447.76
1687.707,15511.22
1688.79,15575.0
1689.873,15384.62
1690.956,15447.76
1692.039,15384.62
1693.138,15447.76
1694.221,15384.62
1695.304,15447.76
1696.387,15321.78
1697.47,15384.62
1698.553,15384.62
1699.636,15447.76
1700.719,15384.62
1701.802,15447.76
1702.885,15384.62
1703.968,15447.76
1705.051,15447.76
1706.134,15447.76
1707.217,15447.76
1708.3,15384.62
1709.383,15384.62
1710.466,15384.62
1711.549,15321.78
1712.632,15447.76
1713.715,15511.22
1714.798,15511.22
1715.881,15511.22
1716.964,15447.76
1718.047,15384.62
1719.13,15511.22
1720.213,15447.76
1721.296,15511.22
1722.393,15511.22
1723.476,15447.76
1724.559,15447.76
1725.642,15447.76
1726.725,15447.76
1727.808,15511.22
1728.891,15447.76
1729.974,15447.76
1731.057,15384.62
1732.14,15447.76
1733.223,15447.76
1734.306,15384.62
1735.389,15321.78
1736.472,15384.62
1737.555,15447.76
1738.638,15384.62
1739.721,15321.78
1740.804,15447.76
1741.887,15321.78
1742.97,15384.62
1744.054,15321.78
1745.137,15197.05
1746.22,15321.78
1747.303,15384.62
1748.387,15321.78
1749.47,15259.26
1750.553,15321.78
1751.652,15321.78
1752.736,15384.62
1753.819,15384.62
1754.902,15384.62
1755.985,15384.62
1757.068,15321.78
1758.151,15321.78
1759.234,15321.78
1760.317,15321.78
1761.401,15259.26
1762.492,15321.78
1763.575,15321.78
1764.659,15384.62
1765.743,15321.78
1766.827,15384.62
1767.911,15384.62
1768.994,15321.78
1770.078,15259.26
1771.161,15259.26
1772.245,15321.78
1773.329,15259.26
1774.412,15259.26
1775.495,15197.05
1776.578,15321.78
1777.661,15321.78
1778.744,15321.78
1779.827,15384.62
1780.925,15321.78
1782.008,15321.78
1783.091,15259.26
1784.174,15259.26
1785.257,15259.26
1786.34,15259.26
1787.424,15197.05
1788.508,15259.26
1789.591,15321.78
1790.674,15197.05
1791.757,15259.26
1792.84,15197.05
1793.923,15197.05
1795.006,15259.26
1796.089,15321.78
1797.172,15073.53
1798.255,15197.05
1799.338,15197.05
1800.421,15135.14
1801.504,15073.53
1802.587,15135.14
1803.671,15073.53
1804.754,15073.53
1805.838,15073.53
1806.921,15073.53
1808.005,15012.23
1809.088,15073.53
1810.188,15135.14
1811.272,15135.14
1812.356,15073.53
1813.439,14951.22
1814.522,15012.23
1815.607,15012.23
1816.69,15135.14
1817.773,15135.14
1818.856,15135.14
1819.938,15073.53
1821.02,15073.53
1822.102,14951.22
1823.184,15012.23
1824.266,15073.53
1825.348,15012.23
1826.43,15135.14
1827.511,15073.53
1828.592,15012.23
1829.674,15012.23
1830.756,15073.53
1831.838,15012.23
1832.92,15073.53
1834.002,15012.23
1835.084,15012.23
1836.166,15012.23
1837.248,15012.23
1838.33,15012.23
1839.426,15012.23
1840.508,15012.23
1841.59,14951.22
1842.672,15135.14
1843.754,15012.23
1844.836,15073.53
1845.918,15012.23
1847.0,15012.23
1848.082,15012.23
1849.164,14951.22
1850.246,15012.23
1851.328,14830.1
